run_id,coating_gap,position,frame_number,defect_ratio,moving_average,ewma,ucl,center,label_crack,label_delam,label_pinhole
R1,600,top-to-bottom-center,586,0.1857,0.1981,0.1832,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,591,0.2286,0.1867,0.1923,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,594,0.3,0.199,0.2138,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,594,0.2714,0.201,0.2253,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,594,0.2143,0.2019,0.2231,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,594,0.0714,0.1981,0.1928,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,594,0.1857,0.1962,0.1914,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,594,0.3857,0.2143,0.2302,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,594,0.2,0.2067,0.2242,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,594,0.2286,0.2086,0.2251,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,594,0.1,0.2067,0.2001,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,596,0.2857,0.2124,0.2172,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,596,0.2714,0.219,0.228,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,596,0.1714,0.219,0.2167,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,596,0.1286,0.2152,0.1991,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,596,0.3,0.2229,0.2193,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,596,0.2571,0.2248,0.2268,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,596,0.2857,0.2238,0.2386,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,596,0.5286,0.241,0.2966,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,596,0.5,0.26,0.3373,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,603,0.2143,0.2695,0.3127,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,603,0.4286,0.2857,0.3359,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,603,0.1571,0.2705,0.3001,0.1752,0.0418,1,0,1
